Start Time, Fri May 14 09:34:45 GMT-0600 2021
Energy calibration,  Offset: -2.2089352569309995e-10, Slope: 0.10010585188865662, Quadratic: 0
Live Time (s), 1194.04
Real Time (s), 1324.18
Elapsed Computational, 1000000
Spectrum
Channel, Energy (keV), Counts
1, 0.10010585166776309, 0
2, 0.2002117035564197, 0
3, 0.3003175554450763, 0
4, 0.40042340733373294, 0
5, 0.5005292592223896, 0
6, 0.6006351111110462, 0
7, 0.7007409629997028, 0
8, 0.8008468148883594, 0
9, 0.900952666777016, 0
10, 1.0010585186656726, 0
11, 1.1011643705543293, 0
12, 1.2012702224429859, 0
13, 1.3013760743316425, 0
14, 1.401481926220299, 0
15, 1.5015877781089557, 0
16, 1.6016936299976123, 0
17, 1.701799481886269, 0
18, 1.8019053337749256, 0
19, 1.9020111856635822, 0
20, 2.002117037552239, 0
21, 2.1022228894408954, 0
22, 2.202328741329552, 0
23, 2.3024345932182086, 0
24, 2.4025404451068653, 0
25, 2.502646296995522, 0
26, 2.6027521488841785, 0
27, 2.702858000772835, 0
28, 2.8029638526614917, 0
29, 2.9030697045501483, 0
30, 3.003175556438805, 1
31, 3.1032814083274616, 0
32, 3.203387260216118, 0
33, 3.303493112104775, 1
34, 3.4035989639934314, 1
35, 3.503704815882088, 2
36, 3.6038106677707447, 3
37, 3.7039165196594013, 13
38, 3.804022371548058, 22
39, 3.9041282234367145, 95
40, 4.004234075325371, 216
41, 4.104339927214028, 494
42, 4.204445779102684, 808
43, 4.304551630991341, 1336
44, 4.404657482879998, 1612
45, 4.504763334768654, 1996
46, 4.604869186657311, 2259
47, 4.704975038545967, 2295
48, 4.805080890434624, 2397
49, 4.905186742323281, 2370
50, 5.005292594211937, 2412
51, 5.105398446100594, 2529
52, 5.2055042979892505, 2467
53, 5.305610149877907, 2413
54, 5.405716001766564, 2361
55, 5.50582185365522, 2433
56, 5.605927705543877, 2352
57, 5.706033557432534, 2352
58, 5.80613940932119, 2271
59, 5.906245261209847, 2334
60, 6.0063511130985034, 2360
61, 6.10645696498716, 2358
62, 6.206562816875817, 2273
63, 6.306668668764473, 2294
64, 6.40677452065313, 2210
65, 6.5068803725417865, 2225
66, 6.606986224430443, 2190
67, 6.7070920763191, 2119
68, 6.807197928207756, 2178
